source,target,weight
Spitboy,Voodoo Glow Skulls,1
Steelpole Bathtub,Surrogate Brains,1
Steelpole Bathtub,Mr T Experience,1
Stikky,Surrogate Brains,1
Stikky,Sweet Baby Jesus,2
Stikky,Mr T Experience,1
Stikky,Offspring,1
Stikky,Vagrants,2
Stikky,Verbal Abuse,1
Stikky,Wig Torture,2
Stikky,Yeastie Girlz,1
Stikky,Youth of Today,1
Strawman,Tilt,2
Strawman,Unwound,1
Surrogate Brains,Lookouts,1
Surrogate Brains,Vagrants,2
Surrogate Brains,Vomit Launch,1
Sweet Baby Jesus,Mr T Experience,3
Sweet Baby Jesus,Unit Pride,1
Sweet Baby Jesus,Vagrants,1
Sweet Baby Jesus,Yeastie Girlz,2
Swinging Utters,Tourettes,1
Dread,Mr T Experience,1
Dread,Offspring,1
Dread,Total Fucked,1
Dread,Wynona Riders,2
Gr'Ups,Tribe 8,1
Lookouts,Youth of Today,1
Mr T Experience,Offspring,2
Mr T Experience,Tilt,2
Mr T Experience,Unit Pride,2
Mr T Experience,Vagrants,1
Mr T Experience,Victims Family,1
Mr T Experience,Wynona Riders,3
Ne'er Do Wells,Tilt,1
Thinking Fellers Union Local 282,Victims Family,1
Thinking Fellers Union Local 282,Yeastie Girlz,1
Tilt,Voodoo Glow Skulls,1
Tribe 8,Vagrants,1
Tribe 8,Wynona Riders,1
Unit Pride,Vagrants,1
Unit Pride,Youth of Today,1
Victims Family,Wig Torture,1
Vomit Launch,Weeny Roast,2
Vomit Launch,Yeastie Girlz,1
White Trash Debutantes,Wynona Riders,1
